[s]	o	p
<https://w3id.org/geochem/1.0/mingroup/10967>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/9767>
<https://w3id.org/geochem/1.0/mingroup/10967>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/10967>	skos:exactMatch	<https://www.mindat.org/1:1:10967:1>
<https://w3id.org/geochem/1.0/mingroup/10967>	gcmin:normalizedcount	1305
<https://w3id.org/geochem/1.0/mingroup/10967>	rdfs:label	Orthopyroxene Subgroup
<https://w3id.org/geochem/1.0/mingroup/10967>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/10967>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/10967>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/10967>	gcmin:localitycount	1336
<https://w3id.org/geochem/1.0/mingroup/10967>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/10967>	skos:broader	strunz:s09_DA
<https://w3id.org/geochem/1.0/mingroup/10967>	skos:prefLabel	Orthopyroxene Subgroup
<https://w3id.org/geochem/1.0/mingroup/11119>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/11119>	skos:exactMatch	<https://www.mindat.org/1:1:11119:9>
<https://w3id.org/geochem/1.0/mingroup/11119>	gcmin:localitycount	3981
<https://w3id.org/geochem/1.0/mingroup/11119>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/11119>	skos:prefLabel	Smectite Group
<https://w3id.org/geochem/1.0/mingroup/11119>	skos:broader	strunz:s09_EC
<https://w3id.org/geochem/1.0/mingroup/11119>	gcmin:normalizedcount	3562
<https://w3id.org/geochem/1.0/mingroup/11119>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/11119>	rdfs:label	Smectite Group
<https://w3id.org/geochem/1.0/mingroup/11119>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/11119>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/11135>	skos:exactMatch	<https://www.mindat.org/1:1:11135:7>
<https://w3id.org/geochem/1.0/mingroup/11135>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/11135>	skos:broader	strunz:s09_ED
<https://w3id.org/geochem/1.0/mingroup/11135>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/11135>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/11135>	gcmin:localitycount	3128
<https://w3id.org/geochem/1.0/mingroup/11135>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/11136>
<https://w3id.org/geochem/1.0/mingroup/11135>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/11135>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/11135>	gcmin:normalizedcount	2331
<https://w3id.org/geochem/1.0/mingroup/11135>	skos:prefLabel	Serpentine Subgroup
<https://w3id.org/geochem/1.0/mingroup/11135>	rdfs:label	Serpentine Subgroup
<https://w3id.org/geochem/1.0/mingroup/11136>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/11136>	gcmin:localitycount	14744
<https://w3id.org/geochem/1.0/mingroup/11136>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/11136>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/11136>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/11136>	skos:prefLabel	Kaolinite-Serpentine Group
<https://w3id.org/geochem/1.0/mingroup/11136>	rdfs:label	Kaolinite-Serpentine Group
<https://w3id.org/geochem/1.0/mingroup/11136>	skos:exactMatch	<https://www.mindat.org/1:1:11136:6>
<https://w3id.org/geochem/1.0/mingroup/11136>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/11136>	skos:broader	strunz:s09_ED
<https://w3id.org/geochem/1.0/mingroup/118>	gcmin:mindatid	min-118
<https://w3id.org/geochem/1.0/mingroup/118>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/118>	gcmin:mindaturl	https://www.mindat.org/min-118.html
<https://w3id.org/geochem/1.0/mingroup/118>	skos:exactMatch	<https://www.mindat.org/1:1:118:4>
<https://w3id.org/geochem/1.0/mingroup/118>	rdfs:comment	"A subgroup of the Feldspar Group, poor in calcium, and mostly rich in potassium. It is mostly used in petrology for the high temperature series from sanidine to high albite; the series is incomplete at low temperature, but normal albite, orthoclase and microcline are generally still included as alkali feldspars.  Following Strunz classification here,  include barium feldspars (celsian and hyalophane), the ammonium feldspar buddingtonite and the rubidium feldspar rubicline, as alkali feldspars."
<https://w3id.org/geochem/1.0/mingroup/118>	gcmin:localitycount	13782
<https://w3id.org/geochem/1.0/mingroup/118>	dcterm:source	gcmin:SMRadditions
<https://w3id.org/geochem/1.0/mingroup/118>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/118>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/1624>
<https://w3id.org/geochem/1.0/mingroup/118>	skos:prefLabel	Alkali Feldspar
<https://w3id.org/geochem/1.0/mingroup/118>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/118>	skos:definition	"A subgroup of the Feldspar Group, poor in calcium, and mostly rich in potassium. It is mostly used in petrology for the high temperature series from sanidine to high albite; the series is incomplete at low temperature, but normal albite, orthoclase and microcline are generally still included as alkali feldspars.  Following Strunz classification here,  include barium feldspars (celsian and hyalophane), the ammonium feldspar buddingtonite and the rubidium feldspar rubicline, as alkali feldspars."
<https://w3id.org/geochem/1.0/mingroup/118>	rdfs:label	Alkali Feldspar
<https://w3id.org/geochem/1.0/mingroup/1624>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/1624>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/1624>	rdfs:label	Feldspar Group
<https://w3id.org/geochem/1.0/mingroup/1624>	skos:broader	strunz:s09_FA
<https://w3id.org/geochem/1.0/mingroup/1624>	skos:altLabel	Feldspar
<https://w3id.org/geochem/1.0/mingroup/1624>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/1624>	gcmin:localitycount	26933
<https://w3id.org/geochem/1.0/mingroup/1624>	dcterm:source	gcmin:SMRadditions
<https://w3id.org/geochem/1.0/mingroup/1624>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/1624>	skos:exactMatch	<https://www.mindat.org/1:1:1624:3>
<https://w3id.org/geochem/1.0/mingroup/1624>	gcmin:mindaturl	https://www.mindat.org/min-1624.html
<https://w3id.org/geochem/1.0/mingroup/1624>	skos:prefLabel	Feldspar Group
<https://w3id.org/geochem/1.0/mingroup/1624>	rdfs:comment	"A group of silicate minerals. May contain (very minor amount of) OH groups, considered as defects (e.g., Yang et al., 2015)."
<https://w3id.org/geochem/1.0/mingroup/1624>	skos:exactMatch	gsqmin:feldspar
<https://w3id.org/geochem/1.0/mingroup/1624>	gcmin:mindatid	min-1624
<https://w3id.org/geochem/1.0/mingroup/1624>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/1624>	skos:broader	gcmin:aluminosilicate
<https://w3id.org/geochem/1.0/mingroup/1651>	rdfs:label	Garnet Supergroup
<https://w3id.org/geochem/1.0/mingroup/1651>	skos:prefLabel	Garnet Supergroup
<https://w3id.org/geochem/1.0/mingroup/1651>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/1651>	skos:broader	gsog:Mineral_Material
<https://w3id.org/geochem/1.0/mingroup/1651>	skos:topConceptOf	gcmin:conceptScheme
<https://w3id.org/geochem/1.0/mingroup/1651>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/1651>	gcmin:localitycount	17834
<https://w3id.org/geochem/1.0/mingroup/1651>	skos:exactMatch	<https://www.mindat.org/1:1:1651:9>
<https://w3id.org/geochem/1.0/mingroup/1651>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/1651>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/1651>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/207>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/207>	gcmin:localitycount	19787
<https://w3id.org/geochem/1.0/mingroup/207>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/207>	skos:prefLabel	Amphibole Supergroup
<https://w3id.org/geochem/1.0/mingroup/207>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/207>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/207>	skos:broader	strunz:s09_D
<https://w3id.org/geochem/1.0/mingroup/207>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/207>	skos:exactMatch	<https://www.mindat.org/1:1:207:7>
<https://w3id.org/geochem/1.0/mingroup/207>	rdfs:label	Amphibole Supergroup
<https://w3id.org/geochem/1.0/mingroup/274>	rdfs:label	Apatite Supergroup
<https://w3id.org/geochem/1.0/mingroup/274>	skos:topConceptOf	gcmin:conceptScheme
<https://w3id.org/geochem/1.0/mingroup/274>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/274>	skos:broader	gsog:Mineral_Material
<https://w3id.org/geochem/1.0/mingroup/274>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/274>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/274>	gcmin:localitycount	22896
<https://w3id.org/geochem/1.0/mingroup/274>	skos:exactMatch	<https://www.mindat.org/1:1:274:9>
<https://w3id.org/geochem/1.0/mingroup/274>	skos:prefLabel	Apatite Supergroup
<https://w3id.org/geochem/1.0/mingroup/274>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/274>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/2750>	skos:prefLabel	Monazite
<https://w3id.org/geochem/1.0/mingroup/2750>	gcmin:normalizedcount	1282
<https://w3id.org/geochem/1.0/mingroup/2750>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/2750>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/2750>	skos:exactMatch	<https://www.mindat.org/1:1:2750:8>
<https://w3id.org/geochem/1.0/mingroup/2750>	rdfs:label	Monazite
<https://w3id.org/geochem/1.0/mingroup/2750>	gcmin:localitycount	1354
<https://w3id.org/geochem/1.0/mingroup/2750>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/2750>	skos:broader	strunz:s08_AD
<https://w3id.org/geochem/1.0/mingroup/2750>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29313>
<https://w3id.org/geochem/1.0/mingroup/2750>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/2750>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/28896>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/28896>	skos:exactMatch	<https://www.mindat.org/1:1:28896:9>
<https://w3id.org/geochem/1.0/mingroup/28896>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/28896>	skos:prefLabel	Thomsonite Subgroup
<https://w3id.org/geochem/1.0/mingroup/28896>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/28896>	gcmin:normalizedcount	551
<https://w3id.org/geochem/1.0/mingroup/28896>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/28896>	gcmin:localitycount	554
<https://w3id.org/geochem/1.0/mingroup/28896>	rdfs:label	Thomsonite Subgroup
<https://w3id.org/geochem/1.0/mingroup/28896>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/4395>
<https://w3id.org/geochem/1.0/mingroup/28896>	skos:broader	strunz:s09_GA
<https://w3id.org/geochem/1.0/mingroup/28896>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29157>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29157>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29157>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/4395>
<https://w3id.org/geochem/1.0/mingroup/29157>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29157>	gcmin:normalizedcount	2276
<https://w3id.org/geochem/1.0/mingroup/29157>	skos:exactMatch	<https://www.mindat.org/1:1:29157:4>
<https://w3id.org/geochem/1.0/mingroup/29157>	gcmin:localitycount	2821
<https://w3id.org/geochem/1.0/mingroup/29157>	skos:prefLabel	Natrolite Subgroup
<https://w3id.org/geochem/1.0/mingroup/29157>	rdfs:label	Natrolite Subgroup
<https://w3id.org/geochem/1.0/mingroup/29157>	skos:broader	strunz:s09_GA
<https://w3id.org/geochem/1.0/mingroup/29157>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29157>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29161>	rdfs:label	Calcite Group
<https://w3id.org/geochem/1.0/mingroup/29161>	skos:broader	strunz:s05_AB
<https://w3id.org/geochem/1.0/mingroup/29161>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29161>	gcmin:normalizedcount	41314
<https://w3id.org/geochem/1.0/mingroup/29161>	gcmin:localitycount	49498
<https://w3id.org/geochem/1.0/mingroup/29161>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29161>	skos:prefLabel	Calcite Group
<https://w3id.org/geochem/1.0/mingroup/29161>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29161>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29161>	skos:exactMatch	<https://www.mindat.org/1:1:29161:7>
<https://w3id.org/geochem/1.0/mingroup/29161>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29176>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29176>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29176>	gcmin:localitycount	2329
<https://w3id.org/geochem/1.0/mingroup/29176>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29176>	rdfs:label	Perovskite Supergroup
<https://w3id.org/geochem/1.0/mingroup/29176>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29176>	skos:topConceptOf	gcmin:conceptScheme
<https://w3id.org/geochem/1.0/mingroup/29176>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29176>	skos:exactMatch	<https://www.mindat.org/1:1:29176:9>
<https://w3id.org/geochem/1.0/mingroup/29176>	skos:prefLabel	Perovskite Supergroup
<https://w3id.org/geochem/1.0/mingroup/29176>	skos:broader	gsog:Mineral_Material
<https://w3id.org/geochem/1.0/mingroup/29220>	skos:broader	strunz:s09_FB
<https://w3id.org/geochem/1.0/mingroup/29220>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/47865>
<https://w3id.org/geochem/1.0/mingroup/29220>	gcmin:normalizedcount	996
<https://w3id.org/geochem/1.0/mingroup/29220>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29220>	gcmin:localitycount	1228
<https://w3id.org/geochem/1.0/mingroup/29220>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29220>	rdfs:label	Sodalite Group
<https://w3id.org/geochem/1.0/mingroup/29220>	skos:prefLabel	Sodalite Group
<https://w3id.org/geochem/1.0/mingroup/29220>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29220>	skos:exactMatch	<https://www.mindat.org/1:1:29220:9>
<https://w3id.org/geochem/1.0/mingroup/29220>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29220>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29229>	skos:prefLabel	Apatite
<https://w3id.org/geochem/1.0/mingroup/29229>	rdfs:comment	added by SMR
<https://w3id.org/geochem/1.0/mingroup/29229>	rdfs:comment	"Apatite is a field term for unidentified calcium phosphate members of the apatite group.  Most ""apatite"" is fluorapatite, whereas hydroxylapatite is much less common and chlorapatite is very rare. ""Apatite"" crystals are short to long hexagonal prisms [0001], with {1010} and {1011} dominant; also thick tabular {0001}, frequently in the crystals of hydrothermal origin in pegmatites and veins, with {1010}, relatively large {0001}, and often also {1011} or low pyramids. Massive, coarse granular to compact. Globular or reniform at times with a sub-fibrous, scaly, or imperfectly columnar structure or as fibrous crusts; stalactitic; earthy; oolitic. May be rock-forming in beds of great extent; as nodular concretions in clays and shales; conglomeritic."
<https://w3id.org/geochem/1.0/mingroup/29229>	rdfs:label	Apatite
<https://w3id.org/geochem/1.0/mingroup/29229>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29229>	gcmin:mindatid	min-29229
<https://w3id.org/geochem/1.0/mingroup/29229>	dcterm:source	gcmin:SMRadditions
<https://w3id.org/geochem/1.0/mingroup/29229>	gcmin:imachemistry	Ca5(PO4)3(Cl/F/OH)
<https://w3id.org/geochem/1.0/mingroup/29229>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/32275>
<https://w3id.org/geochem/1.0/mingroup/29229>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29229>	skos:exactMatch	<https://www.mindat.org/1:1:29229:0>
<https://w3id.org/geochem/1.0/mingroup/29229>	gcmin:mindaturl	https://www.mindat.org/min-29229.html
<https://w3id.org/geochem/1.0/mingroup/29229>	gcmin:localitycount	4246
<https://w3id.org/geochem/1.0/mingroup/29229>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29229>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29229>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29230>	skos:broader	strunz:s02_D
<https://w3id.org/geochem/1.0/mingroup/29230>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29230>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29230>	gcmin:localitycount	1965
<https://w3id.org/geochem/1.0/mingroup/29230>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29230>	skos:exactMatch	<https://www.mindat.org/1:1:29230:6>
<https://w3id.org/geochem/1.0/mingroup/29230>	rdfs:label	Thiospinel Group
<https://w3id.org/geochem/1.0/mingroup/29230>	skos:broader	<https://w3id.org/geochem/1.0/mingroup/52865>
<https://w3id.org/geochem/1.0/mingroup/29230>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29230>	skos:prefLabel	Thiospinel Group
<https://w3id.org/geochem/1.0/mingroup/29230>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29251>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29251>	skos:exactMatch	<https://www.mindat.org/1:1:29251:9>
<https://w3id.org/geochem/1.0/mingroup/29251>	skos:broader	strunz:s08_BH
<https://w3id.org/geochem/1.0/mingroup/29251>	gcmin:localitycount	1991
<https://w3id.org/geochem/1.0/mingroup/29251>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29251>	rdfs:label	Adelite-Descloizite Group
<https://w3id.org/geochem/1.0/mingroup/29251>	gcmin:normalizedcount	1499
<https://w3id.org/geochem/1.0/mingroup/29251>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29251>	skos:prefLabel	Adelite-Descloizite Group
<https://w3id.org/geochem/1.0/mingroup/29251>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29251>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29264>	skos:prefLabel	Olivine Group
<https://w3id.org/geochem/1.0/mingroup/29264>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29264>	skos:broader	strunz:s09_A
<https://w3id.org/geochem/1.0/mingroup/29264>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29264>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29264>	gcmin:normalizedcount	2546
<https://w3id.org/geochem/1.0/mingroup/29264>	gcmin:localitycount	2789
<https://w3id.org/geochem/1.0/mingroup/29264>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29264>	rdfs:label	Olivine Group
<https://w3id.org/geochem/1.0/mingroup/29264>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29264>	skos:exactMatch	<https://www.mindat.org/1:1:29264:3>
<https://w3id.org/geochem/1.0/mingroup/29267>	rdfs:label	Alunite Supergroup
<https://w3id.org/geochem/1.0/mingroup/29267>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29267>	skos:exactMatch	<https://www.mindat.org/1:1:29267:0>
<https://w3id.org/geochem/1.0/mingroup/29267>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29267>	skos:topConceptOf	gcmin:conceptScheme
<https://w3id.org/geochem/1.0/mingroup/29267>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29267>	skos:prefLabel	Alunite Supergroup
<https://w3id.org/geochem/1.0/mingroup/29267>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29267>	gcmin:localitycount	8566
<https://w3id.org/geochem/1.0/mingroup/29267>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29267>	skos:broader	gsog:Mineral_Material
<https://w3id.org/geochem/1.0/mingroup/29269>	gcmin:localitycount	10873
<https://w3id.org/geochem/1.0/mingroup/29269>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29269>	skos:prefLabel	Aragonite Group
<https://w3id.org/geochem/1.0/mingroup/29269>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29269>	skos:exactMatch	<https://www.mindat.org/1:1:29269:8>
<https://w3id.org/geochem/1.0/mingroup/29269>	skos:broader	strunz:s05_AB
<https://w3id.org/geochem/1.0/mingroup/29269>	rdfs:label	Aragonite Group
<https://w3id.org/geochem/1.0/mingroup/29269>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29270>	gcmin:localitycount	3351
<https://w3id.org/geochem/1.0/mingroup/29270>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29270>	skos:prefLabel	Arsenic Group
<https://w3id.org/geochem/1.0/mingroup/29270>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29270>	skos:exactMatch	<https://www.mindat.org/1:1:29270:4>
<https://w3id.org/geochem/1.0/mingroup/29270>	skos:broader	strunz:s01_CA
<https://w3id.org/geochem/1.0/mingroup/29270>	rdfs:label	Arsenic Group
<https://w3id.org/geochem/1.0/mingroup/29270>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29271>	skos:broader	strunz:s02_EB
<https://w3id.org/geochem/1.0/mingroup/29271>	skos:inScheme	grup:conceptscheme
<https://w3id.org/geochem/1.0/mingroup/29271>	skos:exactMatch	<https://www.mindat.org/1:1:29271:3>
<https://w3id.org/geochem/1.0/mingroup/29271>	schema:additionalType	group
<https://w3id.org/geochem/1.0/mingroup/29271>	gcmin:localitycount	11206
<https://w3id.org/geochem/1.0/mingroup/29271>	skos:prefLabel	Arsenopyrite Group
<https://w3id.org/geochem/1.0/mingroup/29271>	rdf:type	skos:Concept
<https://w3id.org/geochem/1.0/mingroup/29271>	skos:definition	
<https://w3id.org/geochem/1.0/mingroup/29271>	dcterm:source	gcmin:smrMindatGroupQuery
<https://w3id.org/geochem/1.0/mingroup/29271>	gcmin:normalizedcount	10854
<https://w3id.org/geochem/1.0/mingroup/29271>	rdfs:label	Arsenopyrite Group
<https://w3id.org/geochem/1.0/mingroup/29274>	gcmin:normalizedcount	2326
<https://w3id.org/geochem/1.0/mingroup/29274>	skos:prefLabel	Autunite Group
