databaseMethod,uri,label,Notation,essdmNOTATION
FLUOROMETRY,meth:fluorescencespectrometry,Fluorescence spectrometry,AFS,
Focused ion beam scanning microscopy,meth:focusedionbeamscanningmicroscopy,Focused ion beam scanning microscopy,FIB-SEM,
Fourier transform infrared spectrometry,meth:fouriertransforminfraredspectrometry,Fourier transform infrared spectrometry,FTIR,FTIR
Fourier transform ion cyclotron resonance mass spectrometry,meth:fouriertransformioncyclotronresonancemassspectrometry,Fourier transform ion cyclotron resonance mass spectrometry,FTICR-MS,
FOURIER TRANSFORM IR SPECTROSCOPY,meth:fouriertransforminfraredspectrometry,Fourier transform infrared spectrometry,FTIR,
FUSION-INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:inductivelycoupledplasmamassspectrometry,Inductively coupled plasma mass spectrometry,ICPMS,
Gamma counting,meth:gammacounting,Gamma counting,GC,
Gamma ray spectrometry,meth:gammarayspectrometry,Gamma ray spectrometry,GAMMA,
GAMMA RAY SPECTROSCOPY,meth:gammarayspectrometry,Gamma ray spectrometry,GAMMA,GAMMA
GAMMA SPECTROMETRY,meth:gammarayspectrometry,Gamma ray spectrometry,GAMMA,
GAS CHROMATOGRAPHY,meth:gaschromatographyanalysis,Gas chromatography analysis,GC,GC
Gas chromatography analysis,meth:gaschromatographyanalysis,Gas chromatography analysis,GC,
GAS CHROMATOGRAPHY AND CONTINUOUS FLOW ISOTOPE RATIO MONITORING MASS SPECTROMETRY,meth:isotoperatiomassspectrometry,Isotope ratio mass spectrometry,IRMS,
Gas chromatography flame ionization detection,meth:gaschromatographyflameionizationdetection,Gas chromatography flame ionization detection,GC-FID,
Gas chromatography mass spectrometry,meth:gaschromatographymassspectrometry,Gas chromatography mass spectrometry,GC-MS,
Gas chromatography thermal conductivity detection,meth:gaschromatographythermalconductivitydetection,Gas chromatography thermal conductivity detection,GC-TCD,
Gas chromatography thermal conductivity detector,meth:gaschromatographythermalconductivitydetection,Gas chromatography thermal conductivity detection,GC-TCD,
GAS CHROMATOGRAPHY-MASS SPECTROMETRY,meth:gaschromatographymassspectrometry,Gas chromatography mass spectrometry,GC-MS,GC-MS
Gas pycnometry,meth:gaspycnometry,Gas pycnometry,GPYC,
Geochronology techiques,meth:geochronology,Geochronology techiques,,
Glow discharge mass spectrometry,meth:glowdischargemassspectrometry,Glow discharge mass spectrometry,GDMS,GDMS
Gradient ion chromatography,meth:gradientionchromatographyanalysis,Gradient ion chromatography analysis,GIO,
Gradient ion chromatography analysis,meth:gradientionchromatographyanalysis,Gradient ion chromatography analysis,GIO,
GRADIENT ION-CHROMATOGRAPHY,meth:gradientionchromatographyanalysis,Gradient ion chromatography analysis,GIO,GIO
Gravimetric analysis,meth:gravimeticanalysis,Gravimetric analysis,GRAV,
GRAVIMETRY,meth:gravimeticanalysis,Gravimetric analysis,GRAV,GRAV
Gutzeit test,meth:gutzeittest,Gutzeit test,ARS,
Heat-flow DSC,meth:differentialscanningcalorimetry,Differential scanning calorimetry,DSC,
helium pycnometer,meth:gaspycnometry,Gas pycnometry,GPYC,
High resolution cathodoluminescence,meth:cathodoluminescenceimaging,Cathodoluminescence imaging,HR-CL,
High resolution inductively coupled plasma mass spectrometry,meth:highresolutioninductivelycoupledplasmamassspectrometry,High resolution inductively coupled plasma mass spectrometry,HRICPMS,
HIGH-ABUNDANCE SENSITIVITY THERMAL IONIZATION MASS SPECTROMETRY,meth:thermalionizationmassspectrometry,Thermal ionization mass spectrometry,TIMS,
HIGH-PERFORMANCE ION CHROMATOGRAPHY,meth:ionchromatographyanalysis,Ion chromatography analysis,IC,
HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY,meth:liquidchromatographyanalysis,Liquid chromatography analysis,LIC,HPLC
HIGH-RESOLUTION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:highresolutioninductivelycoupledplasmamassspectrometry,High resolution inductively coupled plasma mass spectrometry,HRICPMS,HR-ICP-MS
HIGH-RESOLUTION INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:highresolutioninductivelycoupledplasmamassspectrometry,High resolution inductively coupled plasma mass spectrometry,HRICPMS,
HIGH-RESOLUTION MULTI-COLLECTOR INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:highresolutioninductivelycoupledplasmamassspectrometry,High resolution inductively coupled plasma mass spectrometry,HRICPMS,
HIGH-RESOLUTION SECONDARY IONIZATION MASS SPECTROMETRY,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
Hybridization assay,meth:hybridizationassay,Hybridization assay,,
IES,meth:electrochemicalimpedancespectroscopy,Electrochemical impedance spectroscopy,IES,IES
IGNITION,meth:lossonignitionanalysis,Loss on ignition analysis ,IGN,IGN
IGNITION ANALYSIS,meth:lossonignitionanalysis,Loss on ignition analysis ,IGN,
IMAGE ANALYSIS,meth:analyticalmethod,Analytical method,,IA
Imaging techniques,meth:imagingtechniques,Imaging techniques,,
IMPEDANCE ELECTROCHEMICAL SPECTROSCOPY,meth:electrochemicalimpedancespectroscopy,Electrochemical impedance spectroscopy,IES,
in situ ultraviolet laser fluorination,meth:laserfluorinationanalysis,Laser fluorination mass spectrometry,LAF,UV-LF
INDUCTION HEATING,meth:inductionheatinganalysis,Induction heating analysis,IH,
Induction heating analysis,meth:inductionheatinganalysis,Induction heating analysis,IH,
INDUCTIVELY COUPLED PLASMA (FURTHER DETAIL NOT PROVIDED),meth:inductivelycoupledplasmaemissionspectrometry,Inductively coupled plasma emission spectrometry,ICPES,ICP
INDUCTIVELY COUPLED PLASMA ATOMIC EMISSION SPECTROMETRY,meth:inductivelycoupledplasmaemissionspectrometry,Inductively coupled plasma emission spectrometry,ICPES,ICPAES
Inductively coupled plasma emission spectrometry,meth:inductivelycoupledplasmaemissionspectrometry,Inductively coupled plasma emission spectrometry,ICPES,
INDUCTIVELY COUPLED PLASMA LASER ABLATION (FURTHER DETAIL NOT PROVIDED),meth:laserablationinductivelycoupledplasmamassspectrometry,Laser ablation inductively coupled plasma mass spectrometry,LAICPMS,
Inductively coupled plasma mass spectrometry,meth:inductivelycoupledplasmamassspectrometry,Inductively coupled plasma mass spectrometry,ICPMS,ICPMS
INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY ISOTOPE DILUTION,meth:inductivelycoupledplasmamassspectrometry,Inductively coupled plasma mass spectrometry,ICPMS,ICPMS-ID
INDUCTIVELY COUPLED PLASMA OPTICAL EMISSION SPECTROMETRY,meth:inductivelycoupledplasmaopticalemissionspectrometry,Inductively coupled plasma optical emission spectrometry,ICPOES,ICP-OES
INDUCTIVELY COUPLED PLASMA SPECTROMETRY,meth:inductivelycoupledplasmaemissionspectrometry,Inductively coupled plasma emission spectrometry,ICPES,
INDUCTIVELY-COUPLED PLASMA ATOMIC EMISSION SPECTROMETRY,meth:inductivelycoupledplasmaemissionspectrometry,Inductively coupled plasma emission spectrometry,ICPES,
INDUCTIVELY-COUPLED PLASMA OPTICAL EMISSION SPECTROSCOPY,meth:inductivelycoupledplasmaopticalemissionspectrometry,Inductively coupled plasma optical emission spectrometry,ICPOES,
Infrared absorption spectrometry,meth:infraredabsorptionspectrometry,Infrared absorption spectrometry,IRAS,
INFRARED ABSORPTION SPECTROSCOPY,meth:infraredabsorptionspectrometry,Infrared absorption spectrometry,IRAS,
INFRARED GAS ANALYSIS,meth:infraredabsorptionspectrometry,Infrared absorption spectrometry,IRAS,
INFRARED GAS ANALYZER,meth:infraredabsorptionspectrometry,Infrared absorption spectrometry,IRAS,
infrared laser fluorination,meth:laserfluorinationanalysis,Laser fluorination mass spectrometry,LAF,IR-LF
Infrared optical spectrometry,meth:infraredopticalspectrometry,Infrared optical spectrometry,,
Infrared photometry,meth:infraredphotometry,Infrared photometry,IRP,
INFRARED QUANTIFICATION AND HIGH TEMPERATURE EVOLUTION,meth:elementalanalysisinfraredspectrometry,Elemental analysis infrared spectrometry ,,
INFRARED QUANTIFICATION AND HIGH TEMPERATURE EVOLUTION ANALYSIS,meth:elementalanalysisinfraredspectrometry,Elemental analysis infrared spectrometry ,,
Infrared reflectance,meth:infraredreflectance,Infrared reflectance,IRM,
INFRARED REFLECTION MOISTURE ANALYSIS,meth:infraredreflectance,Infrared reflectance,IRM,
Infrared spectrometry,meth:infraredspectrometry,Infrared spectrometry,IR,
INFRARED SPECTROPHOTOMETRY,meth:infraredspectrometry,Infrared spectrometry,IR,
INFRARED SPECTROSCOPY,meth:infraredspectrometry,Infrared spectrometry,IR,
INFRA-RED SPECTROSCOPY,meth:infraredspectrometry,Infrared spectrometry,IR,IR-SP
Infrared transmission spectrometry,meth:infraredtransmissionspectrometry,Infrared transmission spectrometry,TIRS,
Instrumental neutron activation analysis,meth:instrumentalneutronactivationanalysis,Instrumental neutron activation analysis,INAA,INAA
INSTRUMENTAL NEUTRON ACTIVATION ANALYSIS,meth:instrumentalneutronactivationanalysis,Instrumental neutron activation analysis,INAA,INAA
INSTRUMENTAL PHOTON ACTIVATION ANALYSIS,meth:photonactivationanalysis,Photon activation analysis,PAA,
INVERSION VOLT-AMPEROMETRY,meth:voltammetry,Voltammetry,VOLT,IVA
Ion chromatography,meth:ionchromatographyanalysis,Ion chromatography analysis,IC,INC
Ion chromatography analysis,meth:ionchromatographyanalysis,Ion chromatography analysis,IC,
Ion exchange chromatography,meth:ionchromatographyanalysis,Ion chromatography analysis,IC,
ION MICROPROBE,meth:particlebeamexcitation,Particle beam excitation,xPBE,IMP
