s	l	sources
meth:differentialscanningcalorimetry	Differential scanning calorimetry	DFG | https://w3id.org/geochem/1.0/agent/orex | https://doi.org/10.1515/pac-2012-0609 | https://en.wikipedia.org/wiki/Differential_scanning_calorimetry | https://w3id.org/geochem/1.0/agent/geox
meth:differentialthermalanalyis	Differential thermal analysis	https://w3id.org/geochem/1.0/agent/georoc
meth:directcurrentplasmaemissionspectrometry	Direct current plasma emission spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc | https://www.rsc.org/publishing/journals/prospect/ontology.asp?id=CMO:0000265
meth:directcurrentplasmaspectrometry	Direct current plasma spectrometry	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb
meth:directshearstrengthmeasurement	Direct shear strength measurement	https://w3id.org/geochem/1.0/agent/orex
meth:dualinletisotoperatiomassspectrometry	Dual inlet isotope ratio mass spectrometry	https://en.wikipedia.org/wiki/Isotope-ratio_mass_spectrometry | https://w3id.org/geochem/1.0/agent/georoc
meth:electricalconductivitymeasurement	Electrical conductivity measurement	https://w3id.org/geochem/1.0/analyticalmethod/smraddinstmethodsgeox
meth:electrochemicalimpedancespectroscopy	Electrochemical impedance spectroscopy	https://www.jlab.org/conferences/tfsrf/Thursday/Th2_1-EIS%20intro%20Reece.pdf | https://w3id.org/geochem/1.0/agent/astromat | https://www.biologic.net/topics/what-is-eis/
meth:electrochemicaltechniques	Electrochemical techniques	https://w3id.org/geochem/1.0/analyticalmethod/smrAddGeneralGeoX
meth:electronbackscatterdiffraction	Electron backscatter diffraction	https://w3id.org/geochem/1.0/agent/geox | https://w3id.org/geochem/1.0/agent/orex | DFG
meth:electrondiffraction	Electron diffraction	https://w3id.org/geochem/1.0/analyticalmethod/smrAddGeneralGeoX
meth:electronenergylossspectrometry	Electron energy loss spectrometry	https://en.wikipedia.org/wiki/Electron_energy_loss_spectroscopy
meth:electroninducedxrayspectrometry	Electron induced X-ray spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:electronmicroscopyimaging	Electron microscopy imaging	https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/georoc
meth:electronspectrometry	Electron spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:electronspinresonanceageanalysis	Electron spin resonance age analysis	https://en.wikipedia.org/wiki/Electron_spin_resonance_dating | https://w3id.org/geochem/1.0/agent/georoc
meth:electrothermalabsorptionspectrometry	Electrothermal absorption spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:elementalanalysis	Elemental analysis	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc | http://vocab.nerc.ac.uk/collection/L05/current/LAB01 | https://w3id.org/geochem/1.0/agent/petdb | https://en.wikipedia.org/wiki/Elemental_analysis
meth:elementalanalysisinfraredspectrometry	Elemental analysis infrared spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smrAdd
meth:elementalanalysisisotoperatiomassspectrometry	Elemental analysis isotope ratio mass spectrometry	https://w3id.org/geochem/1.0/agent/petdb | https://doi.org/10.1351/PAC-REC-06-04-06 | https://w3id.org/geochem/1.0/agent/orex
meth:elementalanalysismassspectrometry	Elemental analysis mass spectrometry	https://w3id.org/geochem/1.0/agent/astromat
meth:emissionspectrometry	Emission spectrometry	https://en.wikipedia.org/wiki/Atomic_emission_spectroscopy | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat
meth:energydispersiveelectroninducedxrayspectrometry	Energy Dispersive electron induced X-ray spectrometry	https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/petdb
meth:energydispersivexrayfluorescencespectrometry	Energy dispersive X-ray fluorescence spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/petdb | https://www.xos.com/EDXRF
meth:energydispersivexrayspectraraster	Energy dispersive X-ray spectral data 2D raster	https://w3id.org/geochem/1.0/agent/orex
meth:energydispersivexrayspectrometry	Energy dispersive X-ray spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch
meth:energyfilteredtransmissionelectronimaging	Energy-filtered transmission electron imaging	https://eels.info/about/techniques/eftem | https://w3id.org/geochem/1.0/agent/orex
meth:epithermalneutronactivationanalysis	Epithermal neutron activation analysis	https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/georoc
meth:extendedxrayabsorptionfinestructure	Extended X-ray absorption fine structure	https://doi.org/10.1515/pac-2019-0302
meth:fastneutronactivationanalysis	Fast neutron activation analysis	https://w3id.org/geochem/1.0/analyticalmethod/smrAdd | https://elementalanalysis.com/naa/
meth:fireassayemissionspectrometry	Fire assay emission spectrometry	https://w3id.org/geochem/1.0/agent/petdb
meth:fissiontrackcounting	Fission track counting	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb | https://doi.org/10.1016/1040-6182(92)90017-V
meth:flameemissionspectrometry	Flame emission spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb
meth:flowcytometry	Flow cytometry	https://apps.usgs.gov/thesaurus/thesaurus-full.php?thcode=2&code=400 | https://w3id.org/geochem/1.0/agent/geox
meth:fluorescencemicroscopy	Fluorescence microscopy	https://w3id.org/geochem/1.0/agent/geox | http://micro.magnet.fsu.edu/primer/techniques/fluorescence/fluorhome.html | https://w3id.org/geochem/1.0/analyticalmethod/nasagcmd
meth:fluorescencespectrometry	Fluorescence spectrometry	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/analyticalmethod/nasagcmd | https://w3id.org/geochem/1.0/agent/geox | https://en.wikipedia.org/wiki/Fluorescence_spectroscopy
meth:fluorescentinsituhybridization	Fluorescent in situ hybridization	https://w3id.org/geochem/1.0/agent/geox | https://doi.org/10.1515/iupac.90.0262
meth:focusedionbeamscanningmicroscopy	Focused ion beam scanning microscopy	https://w3id.org/geochem/1.0/agent/orex
meth:fouriertransforminfraredspectrometry	Fourier transform infrared spectrometry	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://w3id.org/geochem/1.0/agent/petdb | https://en.wikipedia.org/wiki/Fourier-transform_infrared_spectroscopy
meth:fouriertransformioncyclotronresonancemassspectrometry	Fourier transform ion cyclotron resonance mass spectrometry	https://w3id.org/geochem/1.0/agent/orex
meth:gammacounting	Gamma counting	https://w3id.org/geochem/1.0/agent/orex
meth:gammarayspectrometry	Gamma ray spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/georoc
meth:gaschromatographyanalysis	Gas chromatography analysis	https://w3id.org/geochem/1.0/analyticalmethod/smrAddGeneralGeoX | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc
meth:gaschromatographyflameionizationdetection	Gas chromatography flame ionization detection	https://doi.org/10.1515/pac-2017-0111 | https://w3id.org/geochem/1.0/agent/geox
meth:gaschromatographymassspectrometry	Gas chromatography mass spectrometry	https://w3id.org/geochem/1.0/agent/geox | https://doi.org/10.1351/PAC-REC-06-04-06 | https://w3id.org/geochem/1.0/agent/orex
meth:gaschromatographythermalconductivitydetection	Gas chromatography thermal conductivity detection	https://w3id.org/geochem/1.0/agent/geox
meth:gaspycnometry	Gas pycnometry	https://w3id.org/geochem/1.0/agent/orex | https://en.wikipedia.org/wiki/Gas_pycnometer
meth:geochronology	Geochronology techniques	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:glowdischargemassspectrometry	Glow discharge mass spectrometry	https://nrc.canada.ca/en/research-development/products-services/technical-advisory-services/glow-discharge-mass-spectrometry-gdms-analysis | https://w3id.org/geochem/1.0/agent/metbase | https://www.massint.co.uk/glow-discharge-ms/gdms.php
meth:gradientionchromatographyanalysis	Gradient ion chromatography analysis	https://w3id.org/geochem/1.0/agent/petdb
meth:gravimeticanalysis	Gravimetric analysis	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://en.wikipedia.org/wiki/Wet_chemistry#Gravimetric_analysis
meth:gutzeittest	Gutzeit test	https://w3id.org/geochem/1.0/agent/georoc
meth:highresolutioninductivelycoupledplasmamassspectrometry	High resolution inductively coupled plasma mass spectrometry (deprecated)	https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat
meth:hybridizationassay	Hybridization assay	https://en.wikipedia.org/wiki/Hybridization_assay | https://w3id.org/geochem/1.0/agent/geox | https://doi.org/10.1515/iupac.90.0262
meth:imagingtechniques	Imaging techniques	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:inductionheatinganalysis	Induction heating analysis	https://w3id.org/geochem/1.0/agent/georoc
meth:inductivelycoupledplasmaemissionspectrometry	Inductively coupled plasma emission spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:inductivelycoupledplasmamassspectrometry	Inductively coupled plasma mass spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/petdb
meth:inductivelycoupledplasmaopticalemissionspectrometry	Inductively coupled plasma optical emission spectrometry	https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/georoc
meth:infraredabsorptionspectrometry	Infrared absorption spectrometry	https://w3id.org/geochem/1.0/agent/georoc | https://en.wikipedia.org/wiki/Infrared_gas_analyzer
meth:infraredopticalspectrometry	Infrared optical spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:infraredphotometry	Infrared photometry	https://w3id.org/geochem/1.0/agent/georoc
meth:infraredreflectance	Infrared reflectance	https://w3id.org/geochem/1.0/agent/georoc
meth:infraredspectrometry	Infrared spectrometry	https://w3id.org/geochem/1.0/agent/petdb | https://conductscience.com/the-basics-of-infrared-spectrophotometry/ | https://w3id.org/geochem/1.0/agent/georoc
meth:infraredtransmissionspectrometry	Infrared transmission spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:instrumentalneutronactivationanalysis	Instrumental neutron activation analysis 	https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://www.nist.gov/laboratories/tools-instruments/instrumental-neutron-activation-analysis-inaa | https://serc.carleton.edu/research_education/geochemsheets/techniques/INAA.html | https://w3id.org/geochem/1.0/agent/georoc
meth:ionchromatographyanalysis	Ion chromatography analysis	https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/georoc | https://doi.org/10.1515/pac-2017-0111 | https://w3id.org/geochem/1.0/agent/geox | https://w3id.org/geochem/1.0/analyticalmethod/nasagcmd
meth:ionsensitiveelectrodeanalysis	Ion sensitive electrode analysis	https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Physical_Methods_in_Chemistry_and_Nano_Science_(Barron)/01%3A_Elemental_Analysis/1.07%3A_Ion_Selective_Electrode_Analysis
meth:isotoperatiomassspectrometry	Isotope ratio mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc | https://www.emsl.pnnl.gov/science/related-instrument/isotope-ratio-mass-spectrometry/1795
meth:lecofurnaceanalysis	LECO furnace analysis	https://w3id.org/geochem/1.0/agent/georoc | https://www.element.com/materials-testing-services/chemical-analysis-labs/leco-analysis
meth:laserinducedbreakdownspectrometry	Laser Induced Breakdown Spectrometry	https://doi.org/10.1007/978-3-642-20668-9 | https://w3id.org/geochem/1.0/agent/metbase | https://en.wikipedia.org/wiki/Laser-induced_breakdown_spectroscopy | https://appliedspectra.com/technology/libs.html
meth:laserablationinductivelycoupledplasmamassspectrometry	Laser ablation inductively coupled plasma mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/petdb
meth:laserablationmassspectrometry	Laser ablation mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:laserablationresonanceionizationmassspectrometry	Laser ablation resonance ionization mass spectrometry	https://w3id.org/geochem/1.0/agent/petdb | https://doi.org/10.1063/1.1143443
meth:lassmassspectrometry	Laser ablation split stream mass spectrometry 	https://w3id.org/geochem/1.0/agent/georoc | https://assets.thermofisher.com/TFS-Assets/CMD/Application-Notes/AN-30298-ICP-MS-Laser-Ablation-Split-Stream-AN30298-EN.pdf
meth:laserabsorptionspectrometry	Laser absorption spectrometry	https://new.abb.com/products/measurement-products/analytical/laser-gas-analyzers | https://w3id.org/geochem/1.0/agent/georoc
meth:laserfluorinationanalysis	Laser fluorination mass spectrometry	https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/astromat | https://sil.uoregon.edu/laser-fluorination/ | https://w3id.org/geochem/1.0/agent/georoc
meth:laserionizationmassspectrometry	Laser ionization mass spectrometry	https://doi.org/10.1021/acs.analchem.9b00329 | https://w3id.org/geochem/1.0/agent/georoc
meth:liquidchromatographyanalysis	Liquid chromatography analysis	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb
meth:liquidchromatographymassspectrometry	Liquid chromatography mass spectrometry	https://w3id.org/geochem/1.0/agent/orex
meth:liquidchromatographyorganiccarbondetection	Liquid chromatography organic carbon detection	https://w3id.org/geochem/1.0/agent/geox
meth:liquidinletinductivelycoupledplasmamassspectrometry	Liquid inlet inductively coupled plasma mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:lockinthermography	Lock in thermography	https://movitherm.com/knowledgebase/what-is-lock-in-thermography/ | https://w3id.org/geochem/1.0/agent/orex
meth:lossonignitionanalysis	Loss on ignition analysis 	https://www.precisa.com/blog/what-is-loss-on-ignition-loi | https://w3id.org/geochem/1.0/agent/georoc
meth:magneticfieldmeasurement	Magnetic field measurement	https://w3id.org/geochem/1.0/analyticalmethod/smraddinstmethodsgeox
meth:manometry	Manometry	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/petdb
meth:massspectrometry	Mass spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smrAddGeneralGeoX | https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/astromat | https://doi.org/10.1351/PAC-REC-06-04-06 | https://w3id.org/geochem/1.0/agent/georoc
meth:microxrayfluorescencespectroscopy	Micro X-ray fluorescence spectrometry	https://doi.org/10.1515/pac-2019-0302
meth:micromassmultiprepmassspectrometry	Micromass multiprep mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:microprobetwosteplasermassspectrometry	Microprobe two step laser mass spectrometry	https://w3id.org/geochem/1.0/agent/orex
meth:microscopicxrayimaging	Microscopic X-ray imaging	https://w3id.org/geochem/1.0/agent/astromat | https://en.wikipedia.org/wiki/X-ray_microscope
meth:microscopy	Microscopy	https://w3id.org/geochem/1.0/analyticalmethod/smraddinstmethodsgeox
meth:minicryogenfreemeasurementsystemforthermalconductivity	Mini cryogen free measurement system for thermal conductivity	https://w3id.org/geochem/1.0/agent/orex
meth:moistureanalysis	Moisture analysis	https://onlinepubs.trb.org/Onlinepubs/nchrp/nchrp_rpt_138.pdf | https://w3id.org/geochem/1.0/agent/petdb
meth:mossbauerspectroscopy	Mossbauer spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/georoc | https://en.wikipedia.org/wiki/M%C3%B6ssbauer_spectroscopy | https://w3id.org/geochem/1.0/agent/petdb
meth:multicollectorinductivelycoupledplasmamassspectrometry	Multi collector inductively coupled plasma mass spectrometry	https://w3id.org/geochem/1.0/agent/orex
meth:nanoindentationandmicroindentation	Nanoindentation and microindentation	https://w3id.org/geochem/1.0/agent/orex
meth:nanoscaleinfraredspectrometry	Nanoscale infrared spectrometry	https://doi.org/10.1016/S1369-7021(10)70205-4 | https://w3id.org/geochem/1.0/agent/orex
meth:negativeionthermalionizationmassspectrometry	Negative ion thermal ionization mass spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:neutronactivationanalysis	Neutron activation analysis	https://w3id.org/geochem/1.0/agent/astromat | https://serc.carleton.edu/research_education/geochemsheets/techniques/INAA.html | https://www.nist.gov/laboratories/tools-instruments/instrumental-neutron-activation-analysis-inaa | https://w3id.org/geochem/1.0/analyticalmethod/skooghollercrouch | https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb
meth:neutroncounting	Neutron counting	https://w3id.org/geochem/1.0/agent/georoc | https://www.lanl.gov/org/ddste/aldgs/sst-training/_assets/docs/PANDA/Principles%20of%20Neutron%20Coincidence%20Counting%20Ch.%2016%20p.%20457-492.pdf
meth:neutronirradiationnoblegasmassspectrometry	Neutron irradiation noble gas mass spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/georoc
meth:nextgenerationsequencing	Next generation sequencing	https://w3id.org/geochem/1.0/agent/geox | https://doi.org/10.1515/iupac.90.0262
meth:noblegasmassspectrometry	Noble gas mass spectrometry	https://nvlpubs.nist.gov/nistpubs/jres/38/jresv38n6p617_A1b.pdf | https://w3id.org/geochem/1.0/agent/orex | https://w3id.org/geochem/1.0/agent/georoc
meth:nuclearmagneticresonancespectrometry	Nuclear magnetic resonance spectrometry	DFG | https://iupac.org/wp-content/uploads/2019/10/PAC-REC-19-02-03.R2_PR191002MC.pdf | https://en.wikipedia.org/wiki/Nuclear_magnetic_resonance_spectroscopy | https://w3id.org/geochem/1.0/agent/geox | https://w3id.org/geochem/1.0/agent/orex
meth:nuclearmicroprobeanalysis	Nuclear microprobe analysis	https://www.annualreviews.org/doi/pdf/10.1146/annurev.ns.42.120192.000245 | https://w3id.org/geochem/1.0/agent/georoc
meth:nuclearparticletrackcounting	Nuclear particle track counting	https://w3id.org/geochem/1.0/agent/astromat
meth:nuclearreactionspectrometry	Nuclear reaction spectrometry	https://w3id.org/geochem/1.0/agent/astromat
meth:opticalemissionspectrometry	Optical emission spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:opticalspectrometry	Optical spectrometry	https://w3id.org/geochem/1.0/agent/astromat | https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory | https://w3id.org/geochem/1.0/agent/petdb | https://w3id.org/geochem/1.0/agent/georoc
meth:orbitrapmassspectrometry	Orbitrap mass spectrometry	https://en.wikipedia.org/wiki/Orbitrap | https://w3id.org/geochem/1.0/agent/orex
meth:other	Other	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:particlebeamexcitation	Particle beam excitation	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:particlecohesiondetermination	Particle cohesion determination	https://w3id.org/geochem/1.0/agent/orex
meth:particlecounting	Particle counting	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory | https://w3id.org/geochem/1.0/agent/georoc
meth:particleinducedxrayspectrometry	Particle induced X-ray spectrometry	https://doi.org/10.1515/pac-2019-0302
meth:particlesizedistributionanalysis	Particle size distribution analysis 	https://w3id.org/geochem/1.0/agent/orex
meth:particlespectrometry	Particle spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:penfieldmethodanalysis	Penfield method analysis	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/petdb
meth:photometry	Photometry	https://w3id.org/geochem/1.0/agent/georoc | https://w3id.org/geochem/1.0/agent/geox
meth:photonactivationanalysis	Photon activation analysis	https://doi.org/10.3390/min11060617 | https://w3id.org/geochem/1.0/agent/georoc
meth:photonspectrometry	Photon spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smrAddGeneralGeoX
meth:physicalpropertymeasurement	Physical property measurement	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
meth:plasmaemissionspectrometry	Plasma emission spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:plasmaopticalemissionspectrometry	Plasma optical emission spectrometry	https://w3id.org/geochem/1.0/agent/georoc
meth:plasmaopticalspectrometry	Plasma optical spectrometry	https://w3id.org/geochem/1.0/analyticalmethod/smraddgencategory
