label	longid	s	uri	strunz
Lanthanite-(Ce)	1:1:2325:8	gcmin:lanthanite-ce	<https://www.mindat.org/1:1:2325:8>	05.CC.25
Lanthanite-(La)	1:1:2326:5	gcmin:lanthanite-la	<https://www.mindat.org/1:1:2326:5>	05.CC.25
Lanthanite-(Nd)	1:1:2327:2	gcmin:lanthanite-nd	<https://www.mindat.org/1:1:2327:2>	05.CC.25
Lapeyreite	1:1:38830:2	gcmin:lapeyreite	<https://www.mindat.org/1:1:38830:2>	08.DB.47
Laphamite	1:1:2328:9	gcmin:laphamite	<https://www.mindat.org/1:1:2328:9>	02.FA.30
Lapieite	1:1:2329:6	gcmin:lapieite	<https://www.mindat.org/1:1:2329:6>	02.GA.25
Laplandite-(Ce)	1:1:2331:9	gcmin:laplandite-ce	<https://www.mindat.org/1:1:2331:9>	09.DJ.10
Laptevite-(Ce)	1:1:42866:4	gcmin:laptevite-ce	<https://www.mindat.org/1:1:42866:4>	09.AJ.35
Larderellite	1:1:2332:6	gcmin:larderellite	<https://www.mindat.org/1:1:2332:6>	06.EB.05
Larisaite	1:1:26392:4	gcmin:larisaite	<https://www.mindat.org/1:1:26392:4>	04.JH.25
Larnite	1:1:2333:3	gcmin:larnite	<https://www.mindat.org/1:1:2333:3>	09.AD.05
Larosite	1:1:2334:0	gcmin:larosite	<https://www.mindat.org/1:1:2334:0>	02.LB.35
Larsenite	1:1:2335:7	gcmin:larsenite	<https://www.mindat.org/1:1:2335:7>	09.AB.10
Lasalite	1:1:31587:4	gcmin:lasalite	<https://www.mindat.org/1:1:31587:4>	04.HC.05
Latiumite	1:1:2336:4	gcmin:latiumite	<https://www.mindat.org/1:1:2336:4>	09.EG.45
Latrappite	1:1:2337:1	gcmin:latrappite	<https://www.mindat.org/1:1:2337:1>	04.CC.30
Laueite	1:1:2339:5	gcmin:laueite	<https://www.mindat.org/1:1:2339:5>	08.DC.30
Laumontite	1:1:2340:1	gcmin:laumontite	<https://www.mindat.org/1:1:2340:1>	09.GB.10
Launayite	1:1:2341:8	gcmin:launayite	<https://www.mindat.org/1:1:2341:8>	02.LB.30
Lauraniite	1:1:53839:6	gcmin:lauraniite	<https://www.mindat.org/1:1:53839:6>	07.DD.52
Laurelite	1:1:2342:5	gcmin:laurelite	<https://www.mindat.org/1:1:2342:5>	03.DC.20
Laurentianite	1:1:40272:7	gcmin:laurentianite	<https://www.mindat.org/1:1:40272:7>	09.CP.15
Laurionite	1:1:2343:2	gcmin:laurionite	<https://www.mindat.org/1:1:2343:2>	03.DC.05
Laurite	1:1:2344:9	gcmin:laurite	<https://www.mindat.org/1:1:2344:9>	02.EB.05a
Lausenite	1:1:2345:6	gcmin:lausenite	<https://www.mindat.org/1:1:2345:6>	07.CB.70
Lautarite	1:1:2346:3	gcmin:lautarite	<https://www.mindat.org/1:1:2346:3>	04.KA.05
Lautenthalite	1:1:2347:0	gcmin:lautenthalite	<https://www.mindat.org/1:1:2347:0>	07.DF.70
Lautite	1:1:2348:7	gcmin:lautite	<https://www.mindat.org/1:1:2348:7>	02.CB.40
Lavendulan	1:1:2349:4	gcmin:lavendulan	<https://www.mindat.org/1:1:2349:4>	08.DG.05
Låvenite	1:1:2462:0	gcmin:lavenite	<https://www.mindat.org/1:1:2462:0>	09.BE.17
Lavinskyite	1:1:42860:0	gcmin:lavinskyite	<https://www.mindat.org/1:1:42860:0>	09.DD.05
Lavoisierite	1:1:42756:8	gcmin:lavoisierite	<https://www.mindat.org/1:1:42756:8>	09.B.05
Lavrentievite	1:1:2350:0	gcmin:lavrentievite	<https://www.mindat.org/1:1:2350:0>	02.FC.15a
Lawrencite	1:1:2351:7	gcmin:lawrencite	<https://www.mindat.org/1:1:2351:7>	03.AB.20
Lawsonbauerite	1:1:2352:4	gcmin:lawsonbauerite	<https://www.mindat.org/1:1:2352:4>	07.DD.40
Lawsonite	1:1:2353:1	gcmin:lawsonite	<https://www.mindat.org/1:1:2353:1>	09.BE.05
Lazarenkoite	1:1:2354:8	gcmin:lazarenkoite	<https://www.mindat.org/1:1:2354:8>	04.JC.10
Lazaridisite	1:1:43257:9	gcmin:lazaridisite	<https://www.mindat.org/1:1:43257:9>	07.CB.50
Lazulite	1:1:2356:2	gcmin:lazulite	<https://www.mindat.org/1:1:2356:2>	08.BB.40
Lazurite	1:1:2357:9	gcmin:lazurite	<https://www.mindat.org/1:1:2357:9>	09.FB.10
Lead	1:1:2358:6	gcmin:lead	<https://www.mindat.org/1:1:2358:6>	01.AA.05
Leadamalgam	1:1:2360:9	gcmin:leadamalgam	<https://www.mindat.org/1:1:2360:9>	01.AD.30
Leadhillite	1:1:2361:6	gcmin:leadhillite	<https://www.mindat.org/1:1:2361:6>	05.BF.40
Lechatelierite	1:1:2363:0	gcmin:lechatelierite	<https://www.mindat.org/1:1:2363:0>	04.DA.30
Lecontite	1:1:2364:7	gcmin:lecontite	<https://www.mindat.org/1:1:2364:7>	07.CD.15
Lecoqite-(Y)	1:1:39973:3	gcmin:lecoqite-y	<https://www.mindat.org/1:1:39973:3>	05.CC.45
Leesite	1:1:50774:9	gcmin:leesite	<https://www.mindat.org/1:1:50774:9>	04.GB.90
Lefontite	1:1:46518:8	gcmin:lefontite	<https://www.mindat.org/1:1:46518:8>	08.DD.20
Legrandite	1:1:2365:4	gcmin:legrandite	<https://www.mindat.org/1:1:2365:4>	08.DC.10
Lehnerite	1:1:2367:8	gcmin:lehnerite	<https://www.mindat.org/1:1:2367:8>	08.EB.10
Leifite	1:1:2368:5	gcmin:leifite	<https://www.mindat.org/1:1:2368:5>	09.EH.25
Leightonite	1:1:2369:2	gcmin:leightonite	<https://www.mindat.org/1:1:2369:2>	07.CC.70
Leisingite	1:1:7151:8	gcmin:leisingite	<https://www.mindat.org/1:1:7151:8>	04.FL.65
Leiteite	1:1:2370:8	gcmin:leiteite	<https://www.mindat.org/1:1:2370:8>	04.JA.05
Lemanskiite	1:1:9658:0	gcmin:lemanskiite	<https://www.mindat.org/1:1:9658:0>	08.DG.05
Lemmleinite-Ba	1:1:11440:6	gcmin:lemmleinite-ba	<https://www.mindat.org/1:1:11440:6>	09.CE.30d
Lemmleinite-K	1:1:7048:1	gcmin:lemmleinite-k	<https://www.mindat.org/1:1:7048:1>	09.CE.30d
Lemoynite	1:1:2371:5	gcmin:lemoynite	<https://www.mindat.org/1:1:2371:5>	09.DP.35
Lenaite	1:1:2372:2	gcmin:lenaite	<https://www.mindat.org/1:1:2372:2>	02.CB.10a
Lengenbachite	1:1:2373:9	gcmin:lengenbachite	<https://www.mindat.org/1:1:2373:9>	02.HF.30
Leningradite	1:1:2374:6	gcmin:leningradite	<https://www.mindat.org/1:1:2374:6>	08.BH.65
Lennilenapeite	1:1:2375:3	gcmin:lennilenapeite	<https://www.mindat.org/1:1:2375:3>	09.EG.40
Lenoblite	1:1:2376:0	gcmin:lenoblite	<https://www.mindat.org/1:1:2376:0>	04.HG.60
Leogangite	1:1:26518:0	gcmin:leogangite	<https://www.mindat.org/1:1:26518:0>	08.CC.15
Leonardsenite	1:1:42844:2	gcmin:leonardsenite	<https://www.mindat.org/1:1:42844:2>	03.CB.25
Leonite	1:1:2377:7	gcmin:leonite	<https://www.mindat.org/1:1:2377:7>	07.CC.55
Leószilárdite	1:1:47785:5	gcmin:leoszilardite	<https://www.mindat.org/1:1:47785:5>	05.ED.60
Lepersonnite-(Gd)	1:1:2378:4	gcmin:lepersonnite-gd	<https://www.mindat.org/1:1:2378:4>	05.EG.10
Lepidocrocite	1:1:2379:1	gcmin:lepidocrocite	<https://www.mindat.org/1:1:2379:1>	04.FE.15
Lepkhenelmite-Zn	1:1:26521:4	gcmin:lepkhenelmite-zn	<https://www.mindat.org/1:1:26521:4>	09.CE.30c
Lermontovite	1:1:2381:4	gcmin:lermontovite	<https://www.mindat.org/1:1:2381:4>	08.DN.15
Lesukite	1:1:7153:2	gcmin:lesukite	<https://www.mindat.org/1:1:7153:2>	03.BD.10
Letovicite	1:1:2382:1	gcmin:letovicite	<https://www.mindat.org/1:1:2382:1>	07.AD.20
Leucite	1:1:2465:1	gcmin:leucite	<https://www.mindat.org/1:1:2465:1>	09.GB.05
Leucophanite	1:1:2383:8	gcmin:leucophanite	<https://www.mindat.org/1:1:2383:8>	09.DH.05
Leucophoenicite	1:1:2384:5	gcmin:leucophoenicite	<https://www.mindat.org/1:1:2384:5>	09.AF.60
Leucophosphite	1:1:2385:2	gcmin:leucophosphite	<https://www.mindat.org/1:1:2385:2>	08.DH.10
Leucosphenite	1:1:2386:9	gcmin:leucosphenite	<https://www.mindat.org/1:1:2386:9>	09.DP.15
Leucostaurite	1:1:35579:3	gcmin:leucostaurite	<https://www.mindat.org/1:1:35579:3>	06.EA.05
Levantite	1:1:51837:4	gcmin:levantite	<https://www.mindat.org/1:1:51837:4>	09.EG.45
Levinsonite-(Y)	1:1:7024:5	gcmin:levinsonite-y	<https://www.mindat.org/1:1:7024:5>	10.AB.70
Lévyclaudite	1:1:2387:6	gcmin:levyclaudite	<https://www.mindat.org/1:1:2387:6>	02.HF.25a
Lévyne-Ca	1:1:7154:9	gcmin:levyne-ca	<https://www.mindat.org/1:1:7154:9>	09.GD.15
Lévyne-Na	1:1:7155:6	gcmin:levyne-na	<https://www.mindat.org/1:1:7155:6>	09.GD.15
Leydetite	1:1:43586:8	gcmin:leydetite	<https://www.mindat.org/1:1:43586:8>	07.EB.15
Liandratite	1:1:2391:3	gcmin:liandratite	<https://www.mindat.org/1:1:2391:3>	04.DH.35
Liberite	1:1:2393:7	gcmin:liberite	<https://www.mindat.org/1:1:2393:7>	09.AA.10
Libethenite	1:1:2394:4	gcmin:libethenite	<https://www.mindat.org/1:1:2394:4>	08.BB.30
Liebauite	1:1:2396:8	gcmin:liebauite	<https://www.mindat.org/1:1:2396:8>	09.DO.25
Liebenbergite	1:1:2397:5	gcmin:liebenbergite	<https://www.mindat.org/1:1:2397:5>	09.AC.05
Liebermannite	1:1:45898:4	gcmin:liebermannite	<https://www.mindat.org/1:1:45898:4>	09.FA.70
Liebigite	1:1:2398:2	gcmin:liebigite	<https://www.mindat.org/1:1:2398:2>	05.ED.20
Likasite	1:1:2399:9	gcmin:likasite	<https://www.mindat.org/1:1:2399:9>	05.ND.05
Lileyite	1:1:41955:0	gcmin:lileyite	<https://www.mindat.org/1:1:41955:0>	09.BE.25
Lillianite	1:1:2400:2	gcmin:lillianite	<https://www.mindat.org/1:1:2400:2>	02.JB.40a
Lime	1:1:2401:9	gcmin:lime	<https://www.mindat.org/1:1:2401:9>	04.AB.25
Linarite	1:1:2403:3	gcmin:linarite	<https://www.mindat.org/1:1:2403:3>	07.BC.65
Lindackerite	1:1:2404:0	gcmin:lindackerite	<https://www.mindat.org/1:1:2404:0>	08.CE.30
Lindbergite	1:1:26578:2	gcmin:lindbergite	<https://www.mindat.org/1:1:26578:2>	10.AB.05
Lindgrenite	1:1:2405:7	gcmin:lindgrenite	<https://www.mindat.org/1:1:2405:7>	07.GB.05
Lindqvistite	1:1:2406:4	gcmin:lindqvistite	<https://www.mindat.org/1:1:2406:4>	04.CC.45
Lindsleyite	1:1:2407:1	gcmin:lindsleyite	<https://www.mindat.org/1:1:2407:1>	04.CC.40
Lindströmite	1:1:2408:8	gcmin:lindstromite	<https://www.mindat.org/1:1:2408:8>	02.HB.05a
Lingbaoite	1:1:53671:4	gcmin:lingbaoite	<https://www.mindat.org/1:1:53671:4>	02.CB.42
Linnaeite	1:1:2409:5	gcmin:linnaeite	<https://www.mindat.org/1:1:2409:5>	02.DA.05
Lintisite	1:1:2410:1	gcmin:lintisite	<https://www.mindat.org/1:1:2410:1>	09.DB.15
Linzhiite	1:1:40150:6	gcmin:linzhiite	<https://www.mindat.org/1:1:40150:6>	01.BB.20
Liottite	1:1:2411:8	gcmin:liottite	<https://www.mindat.org/1:1:2411:8>	09.FB.05
Lipscombite	1:1:2412:5	gcmin:lipscombite	<https://www.mindat.org/1:1:2412:5>	08.BB.90
Liroconite	1:1:2413:2	gcmin:liroconite	<https://www.mindat.org/1:1:2413:2>	08.DF.20
Lisetite	1:1:2414:9	gcmin:lisetite	<https://www.mindat.org/1:1:2414:9>	09.FA.55
Lishizhenite	1:1:2415:6	gcmin:lishizhenite	<https://www.mindat.org/1:1:2415:6>	07.CB.75
Lisiguangite	1:1:31586:5	gcmin:lisiguangite	<https://www.mindat.org/1:1:31586:5>	02.GA.25
Lisitsynite	1:1:10316:3	gcmin:lisitsynite	<https://www.mindat.org/1:1:10316:3>	09.FA.25
Liskeardite	1:1:2416:3	gcmin:liskeardite	<https://www.mindat.org/1:1:2416:3>	08.DF.10
Lislkirchnerite	1:1:46822:8	gcmin:lislkirchnerite	<https://www.mindat.org/1:1:46822:8>	05.ND.25
Litharge	1:1:2466:8	gcmin:litharge	<https://www.mindat.org/1:1:2466:8>	04.AC.20
Lithiomarsturite	1:1:2417:0	gcmin:lithiomarsturite	<https://www.mindat.org/1:1:2417:0>	09.DK.05
Lithiophilite	1:1:2418:7	gcmin:lithiophilite	<https://www.mindat.org/1:1:2418:7>	08.AB.10
Lithiophorite	1:1:2419:4	gcmin:lithiophorite	<https://www.mindat.org/1:1:2419:4>	04.FE.25
Lithiophosphate	1:1:2420:0	gcmin:lithiophosphate	<https://www.mindat.org/1:1:2420:0>	08.AA.20
Lithiotantite	1:1:2390:6	gcmin:lithiotantite	<https://www.mindat.org/1:1:2390:6>	04.DB.40
Lithiowodginite	1:1:2392:0	gcmin:lithiowodginite	<https://www.mindat.org/1:1:2392:0>	04.DB.40
Lithosite	1:1:2421:7	gcmin:lithosite	<https://www.mindat.org/1:1:2421:7>	09.GB.05
Litidionite	1:1:2422:4	gcmin:litidionite	<https://www.mindat.org/1:1:2422:4>	09.DG.70
Litochlebite	1:1:39637:4	gcmin:litochlebite	<https://www.mindat.org/1:1:39637:4>	02.HB.20e
Litvinskite	1:1:11437:2	gcmin:litvinskite	<https://www.mindat.org/1:1:11437:2>	09.CJ.15a
Liveingite	1:1:2423:1	gcmin:liveingite	<https://www.mindat.org/1:1:2423:1>	02.HC.05c
Liversidgeite	1:1:39211:0	gcmin:liversidgeite	<https://www.mindat.org/1:1:39211:0>	08.CD.35
Livingstonite	1:1:2424:8	gcmin:livingstonite	<https://www.mindat.org/1:1:2424:8>	02.JA.05i
Lizardite	1:1:2425:5	gcmin:lizardite	<https://www.mindat.org/1:1:2425:5>	09.ED.15
Lokkaite-(Y)	1:1:2427:9	gcmin:lokkaite-y	<https://www.mindat.org/1:1:2427:9>	05.CC.15
Löllingite	1:1:2426:2	gcmin:lollingite	<https://www.mindat.org/1:1:2426:2>	02.EB.15a
Lomonosovite	1:1:2428:6	gcmin:lomonosovite	<https://www.mindat.org/1:1:2428:6>	09.BE.32
Londonite	1:1:7082:5	gcmin:londonite	<https://www.mindat.org/1:1:7082:5>	06.GC.05
Lonecreekite	1:1:2430:9	gcmin:lonecreekite	<https://www.mindat.org/1:1:2430:9>	07.CC.20
Lonsdaleite	1:1:2431:6	gcmin:lonsdaleite	<https://www.mindat.org/1:1:2431:6>	01.CB.10b
Loparite-(Ce)	1:1:2432:3	gcmin:loparite-ce	<https://www.mindat.org/1:1:2432:3>	04.CC.35
Lopatkaite	1:1:43603:4	gcmin:lopatkaite	<https://www.mindat.org/1:1:43603:4>	02.HC.50
Lópezite	1:1:2433:0	gcmin:lopezite	<https://www.mindat.org/1:1:2433:0>	07.FD.05
Lorándite	1:1:2434:7	gcmin:lorandite	<https://www.mindat.org/1:1:2434:7>	02.HD.05
Loranskite-(Y)	1:1:2435:4	gcmin:loranskite-y	<https://www.mindat.org/1:1:2435:4>	04.DG.05
Lorenzenite	1:1:2436:1	gcmin:lorenzenite	<https://www.mindat.org/1:1:2436:1>	09.DB.10
Loseyite	1:1:2438:5	gcmin:loseyite	<https://www.mindat.org/1:1:2438:5>	05.BA.30
Lotharmeyerite	1:1:2439:2	gcmin:lotharmeyerite	<https://www.mindat.org/1:1:2439:2>	08.CG.15
Loudounite	1:1:2440:8	gcmin:loudounite	<https://www.mindat.org/1:1:2440:8>	09.HF.10
Loughlinite	1:1:2441:5	gcmin:loughlinite	<https://www.mindat.org/1:1:2441:5>	09.EE.25
Lourenswalsite	1:1:2442:2	gcmin:lourenswalsite	<https://www.mindat.org/1:1:2442:2>	09.EJ.05
Lovdarite	1:1:2443:9	gcmin:lovdarite	<https://www.mindat.org/1:1:2443:9>	09.GF.15
Loveringite	1:1:2444:6	gcmin:loveringite	<https://www.mindat.org/1:1:2444:6>	04.CC.40
Lovozerite	1:1:2445:3	gcmin:lovozerite	<https://www.mindat.org/1:1:2445:3>	09.CJ.15a
Löweite	1:1:2463:7	gcmin:loweite	<https://www.mindat.org/1:1:2463:7>	07.CC.45
Luanheite	1:1:2447:7	gcmin:luanheite	<https://www.mindat.org/1:1:2447:7>	01.AD.15b
Luanshiweiite	1:1:42731:9	gcmin:luanshiweiite	<https://www.mindat.org/1:1:42731:9>	09.EC.10
Luberoite	1:1:2448:4	gcmin:luberoite	<https://www.mindat.org/1:1:2448:4>	02.BC.35
Lucabindiite	1:1:41602:1	gcmin:lucabindiite	<https://www.mindat.org/1:1:41602:1>	03.DC
Lucasite-(Ce)	1:1:2449:1	gcmin:lucasite-ce	<https://www.mindat.org/1:1:2449:1>	04.DH.10
Lucchesiite	1:1:46794:6	gcmin:lucchesiite	<https://www.mindat.org/1:1:46794:6>	09.CK.05
Luddenite	1:1:2450:7	gcmin:luddenite	<https://www.mindat.org/1:1:2450:7>	09.HH.10
Ludjibaite	1:1:2451:4	gcmin:ludjibaite	<https://www.mindat.org/1:1:2451:4>	08.BD.25
Ludlamite	1:1:2452:1	gcmin:ludlamite	<https://www.mindat.org/1:1:2452:1>	08.CD.20
Ludlockite	1:1:2453:8	gcmin:ludlockite	<https://www.mindat.org/1:1:2453:8>	04.JA.45
Ludwigite	1:1:2454:5	gcmin:ludwigite	<https://www.mindat.org/1:1:2454:5>	06.AB.30
Lueshite	1:1:2455:2	gcmin:lueshite	<https://www.mindat.org/1:1:2455:2>	04.CC.30
Luetheite	1:1:2456:9	gcmin:luetheite	<https://www.mindat.org/1:1:2456:9>	08.DD.05
Luinaite-(OH)	1:1:39672:7	gcmin:luinaite-oh	<https://www.mindat.org/1:1:39672:7>	09.CK.05
Lukechangite-(Ce)	1:1:7159:4	gcmin:lukechangite-ce	<https://www.mindat.org/1:1:7159:4>	05.BD.05
Lukkulaisvaaraite	1:1:46061:5	gcmin:lukkulaisvaaraite	<https://www.mindat.org/1:1:46061:5>	02.BC.40
Lukrahnite	1:1:11010:9	gcmin:lukrahnite	<https://www.mindat.org/1:1:11010:9>	08.CG.20
Lulzacite	1:1:7058:0	gcmin:lulzacite	<https://www.mindat.org/1:1:7058:0>	08.BK.25
Lüneburgite	1:1:2458:3	gcmin:luneburgite	<https://www.mindat.org/1:1:2458:3>	06.AC.60
Lunijianlaite	1:1:2459:0	gcmin:lunijianlaite	<https://www.mindat.org/1:1:2459:0>	09.EC.60
Lun'okite	1:1:2457:6	gcmin:lunokite	<https://www.mindat.org/1:1:2457:6>	08.DH.20
Luobusaite	1:1:7677:3	gcmin:luobusaite	<https://www.mindat.org/1:1:7677:3>	01.BB.25
Lusernaite-(Y)	1:1:42734:6	gcmin:lusernaite-y	<https://www.mindat.org/1:1:42734:6>	05.DB.35
Luxembourgite	1:1:53538:0	gcmin:luxembourgite	<https://www.mindat.org/1:1:53538:0>	02.HB.20e
Luzonite	1:1:2461:3	gcmin:luzonite	<https://www.mindat.org/1:1:2461:3>	02.KA.10
Lyonsite	1:1:2464:4	gcmin:lyonsite	<https://www.mindat.org/1:1:2464:4>	08.AB.40
Macaulayite	1:1:2505:4	gcmin:macaulayite	<https://www.mindat.org/1:1:2505:4>	09.EC.65
Macdonaldite	1:1:2506:1	gcmin:macdonaldite	<https://www.mindat.org/1:1:2506:1>	09.EB.05
Macedonite	1:1:2507:8	gcmin:macedonite	<https://www.mindat.org/1:1:2507:8>	04.CC.35
Macfallite	1:1:2508:5	gcmin:macfallite	<https://www.mindat.org/1:1:2508:5>	09.BG.15
Machatschkiite	1:1:2510:8	gcmin:machatschkiite	<https://www.mindat.org/1:1:2510:8>	08.CJ.35
Machiite	1:1:50775:8	gcmin:machiite	<https://www.mindat.org/1:1:50775:8>	04.CB.35
Mackayite	1:1:2511:5	gcmin:mackayite	<https://www.mindat.org/1:1:2511:5>	04.JL.10
Mackinawite	1:1:2512:2	gcmin:mackinawite	<https://www.mindat.org/1:1:2512:2>	02.CC.25
Macphersonite	1:1:2513:9	gcmin:macphersonite	<https://www.mindat.org/1:1:2513:9>	05.BF.40
Macquartite	1:1:2514:6	gcmin:macquartite	<https://www.mindat.org/1:1:2514:6>	09.HH.05
Madeiraite	1:1:55695:8	gcmin:madeiraite	<https://www.mindat.org/1:1:55695:8>	09.BE
Madocite	1:1:2517:7	gcmin:madocite	<https://www.mindat.org/1:1:2517:7>	02.LB.30
Magadiite	1:1:2530:6	gcmin:magadiite	<https://www.mindat.org/1:1:2530:6>	09.EA.20
Magbasite	1:1:2531:3	gcmin:magbasite	<https://www.mindat.org/1:1:2531:3>	09.HA.25
Maghagendorfite	1:1:2532:0	gcmin:maghagendorfite	<https://www.mindat.org/1:1:2532:0>	08.AC.10
Maghemite	1:1:2533:7	gcmin:maghemite	<https://www.mindat.org/1:1:2533:7>	04.BB.15
Maghrebite	1:1:28948:1	gcmin:maghrebite	<https://www.mindat.org/1:1:28948:1>	08.DC.30
Magnesio-arfvedsonite	1:1:2537:5	gcmin:magnesio-arfvedsonite	<https://www.mindat.org/1:1:2537:5>	09.DE.25
Magnesioaubertite	1:1:2521:4	gcmin:magnesioaubertite	<https://www.mindat.org/1:1:2521:4>	07.DB.05
Magnesiocarpholite	1:1:2500:9	gcmin:magnesiocarpholite	<https://www.mindat.org/1:1:2500:9>	09.DB.05
Magnesiochloritoid	1:1:2497:2	gcmin:magnesiochloritoid	<https://www.mindat.org/1:1:2497:2>	09.AF.85
Magnesiochlorophoenicite	1:1:2499:6	gcmin:magnesiochlorophoenicite	<https://www.mindat.org/1:1:2499:6>	08.BE.35
Magnesiochromite	1:1:2493:4	gcmin:magnesiochromite	<https://www.mindat.org/1:1:2493:4>	04.BB.05
Magnesiocopiapite	1:1:2486:6	gcmin:magnesiocopiapite	<https://www.mindat.org/1:1:2486:6>	07.DB.35
Magnesiocoulsonite	1:1:2476:7	gcmin:magnesiocoulsonite	<https://www.mindat.org/1:1:2476:7>	04.BB.05
Magnesiodumortierite	1:1:2473:6	gcmin:magnesiodumortierite	<https://www.mindat.org/1:1:2473:6>	09.AJ.10
Magnesio-ferri-fluoro-hornblende	1:1:43393:0	gcmin:magnesio-ferri-fluoro-hornblende	<https://www.mindat.org/1:1:43393:0>	09.DE.10
Magnesioferrite	1:1:2501:6	gcmin:magnesioferrite	<https://www.mindat.org/1:1:2501:6>	04.BB.05
Magnesio-fluoro-arfvedsonite	1:1:10334:9	gcmin:magnesio-fluoro-arfvedsonite	<https://www.mindat.org/1:1:10334:9>	09.DE.25
Magnesio-fluoro-hastingsite	1:1:27442:5	gcmin:magnesio-fluoro-hastingsite	<https://www.mindat.org/1:1:27442:5>	09.DE.15
Magnesio-foitite	1:1:7162:4	gcmin:magnesio-foitite	<https://www.mindat.org/1:1:7162:4>	09.CK.05
Magnesio-hastingsite	1:1:2483:5	gcmin:magnesio-hastingsite	<https://www.mindat.org/1:1:2483:5>	09.DE.15
Magnesiohögbomite-2N3S	1:1:11448:8	gcmin:magnesiohogbomite-2n3s	<https://www.mindat.org/1:1:11448:8>	04.CB.20
Magnesiohögbomite-2N4S	1:1:43330:1	gcmin:magnesiohogbomite-2n4s	<https://www.mindat.org/1:1:43330:1>	04.CB.20
Magnesiohögbomite-6N12S	1:1:55042:2	gcmin:magnesiohogbomite-6n12s	<https://www.mindat.org/1:1:55042:2>	04.CB
Magnesiohögbomite-6N6S	1:1:11447:9	gcmin:magnesiohogbomite-6n6s	<https://www.mindat.org/1:1:11447:9>	04.CB.20
Magnesio-hornblende	1:1:2524:5	gcmin:magnesio-hornblende	<https://www.mindat.org/1:1:2524:5>	09.DE.10
Magnesiohulsite	1:1:2498:9	gcmin:magnesiohulsite	<https://www.mindat.org/1:1:2498:9>	06.AB.45
Magnesiokoritnigite	1:1:43924:4	gcmin:magnesiokoritnigite	<https://www.mindat.org/1:1:43924:4>	08.CB.20
Magnesioleydetite	1:1:52172:1	gcmin:magnesioleydetite	<https://www.mindat.org/1:1:52172:1>	07.EB.15
Magnesio-lucchesiite	1:1:53688:4	gcmin:magnesio-lucchesiite	<https://www.mindat.org/1:1:53688:4>	09.CK.05
Magnesioneptunite	1:1:39449:1	gcmin:magnesioneptunite	<https://www.mindat.org/1:1:39449:1>	09.EH.05
Magnesionigerite-6N6S	1:1:11445:1	gcmin:magnesionigerite-6n6s	<https://www.mindat.org/1:1:11445:1>	04.FC.20
Magnesiopascoite	1:1:32206:9	gcmin:magnesiopascoite	<https://www.mindat.org/1:1:32206:9>	04.HC.05
Magnesio-riebeckite	1:1:2518:4	gcmin:magnesio-riebeckite	<https://www.mindat.org/1:1:2518:4>	09.DE.25
Magnesiorowlandite-(Y)	1:1:42701:8	gcmin:magnesiorowlandite-y	<https://www.mindat.org/1:1:42701:8>	09.BE.90
Magnesiostaurolite	1:1:2479:8	gcmin:magnesiostaurolite	<https://www.mindat.org/1:1:2479:8>	09.AF.30
Magnesiotaaffeite-2N'2S	1:1:3863:4	gcmin:magnesiotaaffeite-2n2s	<https://www.mindat.org/1:1:3863:4>	04.FC.25
Magnesiotaaffeite-6N'3S	1:1:2816:1	gcmin:magnesiotaaffeite-6n3s	<https://www.mindat.org/1:1:2816:1>	04.FC.25
Magnesiovesuvianite	1:1:47594:5	gcmin:magnesiovesuvianite	<https://www.mindat.org/1:1:47594:5>	09.BG
Magnesiovoltaite	1:1:47023:2	gcmin:magnesiovoltaite	<https://www.mindat.org/1:1:47023:2>	07.CC.25
Magnesiozippeite	1:1:2474:3	gcmin:magnesiozippeite	<https://www.mindat.org/1:1:2474:3>	07.EC.05
Magnesite	1:1:2482:8	gcmin:magnesite	<https://www.mindat.org/1:1:2482:8>	05.AB.05
Magnesium	1:1:45888:7	gcmin:magnesium	<https://www.mindat.org/1:1:45888:7>	01.AB
Magnetite	1:1:2538:2	gcmin:magnetite	<https://www.mindat.org/1:1:2538:2>	04.BB.05
Magnetoplumbite	1:1:2539:9	gcmin:magnetoplumbite	<https://www.mindat.org/1:1:2539:9>	04.CC.45
Magnioursilite	1:1:11332:8	gcmin:magnioursilite	<https://www.mindat.org/1:1:11332:8>	09.AK.35
Magnolite	1:1:2542:9	gcmin:magnolite	<https://www.mindat.org/1:1:2542:9>	04.JK.60
Magnussonite	1:1:2543:6	gcmin:magnussonite	<https://www.mindat.org/1:1:2543:6>	04.JB.15
Mahnertite	1:1:7165:5	gcmin:mahnertite	<https://www.mindat.org/1:1:7165:5>	08.DH.45
Maikainite	1:1:29014:0	gcmin:maikainite	<https://www.mindat.org/1:1:29014:0>	02.CB.30
Majakite	1:1:2545:0	gcmin:majakite	<https://www.mindat.org/1:1:2545:0>	02.AC.25e
Majorite	1:1:2546:7	gcmin:majorite	<https://www.mindat.org/1:1:2546:7>	09.AD.25
Makarochkinite	1:1:2547:4	gcmin:makarochkinite	<https://www.mindat.org/1:1:2547:4>	09.DH.40
Makatite	1:1:2548:1	gcmin:makatite	<https://www.mindat.org/1:1:2548:1>	09.EE.45
Mäkinenite	1:1:2732:4	gcmin:makinenite	<https://www.mindat.org/1:1:2732:4>	02.CC.20
Makovickyite	1:1:2549:8	gcmin:makovickyite	<https://www.mindat.org/1:1:2549:8>	02.JA.05d
